org;pro;COG;cat;annotation;pattern
 645 ; 1259 ; COG0558 ; I ;Phosphatidylglycerophosphate synthase; ||||||-||||||||||||||||||||||||||||||||||||||||---||||||||||||||||-|||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--|-||||||--|-----||||--|-|--|----||--------|-|---||-|||||||||||||||||||||||||||||||||||||||||||||||||||||--|-||||||||||||||||||||||||||||||||||||||-||||-|||||-|-|||||||||||||||||||--|||-||||||||||||||||||-----|||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||-||||-||-|||||||||||||||||||||||||||||||||||||||||||||||||||||--|||||||||||||||||||||||||||||||||||||||||-||||||||-|||||||||||||||||||||||||||||||||||||||||||||-||||||||||-||||||||||||||||||||||--||||| 
 520 ; 1344 ; COG0561 ; HR ;Hydroxymethylpyrimidine pyrophosphatase and other HAD family phosphatases; ||||||||||||||||||||||||||||||||||||||||||||-|----|||||||||||||||||||||||-|---|||--|||||||||||-|||||||||||||||-|||||||||||||||-||||||||||||||||||||||||||||||||||||--------|-|||||||-||||---|||-|-||-|-|||||-|||-|--|||--|---|--||||-||||||||-|-||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||-||||||||||||||||||||||||||||||||||||--|--||----|-||||---------|||||----||--|-|---------|-|-|----|||-|-|-----||-||-|||-|||--|--|-----||--|||-|-|-||||-----||-|---||||--|-||---|-|--|--|-||-|---||||--|-|||||-|-|||-|||--||-||-||-||-||||-|||||-|-||--|-|||||-|||-||||||||-||---||||-|--||-|||-|-|||||||-|--|-|||-|||-|||||||||||||-|--|-|--|-||------|||----|-|| 
 661 ; 881 ; COG0563 ; F ;Adenylate kinase or related kinase; -----|--|----|--|||--||||||||||||||||||||---------||-|||-|--||--||-|||---|--|----|-||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 
 624 ; 1736 ; COG0564 ; J ;Pseudouridylate synthase, 23S rRNA- or tRNA-specific; ------------------------------------------------|----------------------------------||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||| 
 623 ; 1541 ; COG0566 ; J ;tRNA G18 (ribose-2'-O)-methylase SpoU; ---------------------||-------------------------------------------|----------------|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||| 
 625 ; 1541 ; COG0568 ; K ;DNA-directed RNA polymerase, sigma subunit (sigma70/sigma32); -----------------------------------------------------------------------------------||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||| 
 562 ; 1669 ; COG0569 ; P ;Trk K+ transport system, NAD-binding component; |-|--|||||-|||---|||||||||||||||||||||||||||||||||||-|||||||||||||||||---|-||------------|||||||||||||||||||-|||||-||||||||||||||||||-|||||||||||||||||||||||||--||||--|--|||||-||||||-||--|||--|||||--|||||||||||--|||-||-||-|-||--|-|--|--||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||-||||||||||||-|||||-|||||||||||||||||||||||||||||||||-||||||-|||--|--||||||||||||-|||-|-|---|||---|-||-|||-|--||||-|||-|--|--||||--||||||-|||||-||--|||-|-|||--|-||||||-|---|||-||||-|-||-----||-||--|-|-|||-||||-|--||||||||||||||||||||||--||||||-|||||||||-|||||||||-|---||||-||||||-||||||-||||||||||||-||||||||--||||||||-||||-||||-||||||||||-|||||||||||-|-|||||||-||||||||||||||||||||--|-||-|||-|--||--|---| 
 622 ; 668 ; COG0571 ; K ;dsRNA-specific ribonuclease; -------------------------------------------|----|---|---|-||--||||----------|------|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--||||||||-|--||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||-|||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||-||||-|||||||||||||| 
 369 ; 535 ; COG0572 ; F ;Uridine kinase; ----------------------||||-|-|--|-|||||-------------|-|-|-|---||-----------|-------||||-||||||-|-||-|-|||||-----||--|-|||||||||||||||-|||||-|||||-|||||--||||||-|||--------|-||||||||||||||||||||-||||||||||||||||--|||-|-||||--|||---||-|-||||||-----|||||||||||-||||||||||||||||||-||||||---||||||||||||||||||||||||||||-|--|||-||-|||||||-||||-||||||||--|-||||--|||||--||||||||-|-||||-|--||||--------|---|--|-||--------|--|------||----|---||---|---|---|---|---|---------------------|------|--||--|-----------|---||--------||-||||---------------|--|--|---------------|||-|--|--|----|||||-|-|-|-|||||||||||---||-||||-|---|--|--|||||-||-|--|||----||||-||--------|-|--|-||--||||||||||||||||||-----|---|||------||-|--|---- 
 557 ; 678 ; COG0573 ; P ;ABC-type phosphate transport system, permease component; --|--|||||-|||-|||---||||||||||||||||||||||-|||||||||||||||||||||-||||------||||-|-|||-|||-||||||||-|||||||||||||||||||||||||||||||||||||||-||||-||||||-|||||||||||||||||||-|||||-----|--------------------------------||---||--|||||||------|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||-|||||||||||-||||-|||||||||-|||--|-|||||---|-|-|||||||||||||||||||||||||||--|||||||||||||--||||||--||||||||||||||--||||||||||||||||||||||||||||||||||-||||||--|||||||||||||-||||-||-||||||||||||||||||||||||||||||-|-|||||||||--||-|--------||--||||||--||||||-|-|-|-||--|-|||-|||||-||-|||||-||-|||||||--|||||||||||--|-|--|-||||||-||-|||-|||||||||||--||||-|||-||-||||||--------| 
 386 ; 394 ; COG0575 ; I ;CDP-diglyceride synthetase; ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||---|------|--||--|----||-|-||--|----|||-|----|-|||--|-||---|-|-|-||---||||||------||||----||--------------|--------------------------------|---||-|------|||-------|--------||-||-|||-|-||||||-||---|-----|-|----------------|-------|------||-|--|-||-||---|---|-|||||----|--||||-----||||----||||||||||-|----||-----------||-||||||-|-||-|-|||-|||||-|||||||-|-||||||-||-|||||-||||||||||||||-|---|||||||||||||||||||||||||||||-||||||||||||||-||||-||-|----|-|-----||-|-------|--|--|-|---|-||||||-||-||------||-|-|||||-|--||||-||||||--|||--|||-||-|-|||||||--|-||||---|-|||-||||||||||||||||-|-|--|---||---|||-----|-----|----------|--|-|----|-|-| 
 670 ; 786 ; COG0576 ; O ;Molecular chaperone GrpE (heat shock protein); -----------------------|||||||||||||||||||-|||----||||||||||||||||----|||||||||||--||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||-|||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||| 
 606 ; 4204 ; COG0577 ; V ;ABC-type antimicrobial peptide transport system, permease component; ----|-||||-|-|-|---|||||||||||||||||||||||-||||||||||||||||-|-|||||--|-----|-|-|-|||||||||||||||||||||-||||||||||||||||||||||||||||||-||||||||||||||||||||||||-||||-||||--||-||||||||||||||||||||-||||||||||||||-|---|||||||||-|||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||-|||||||||||||||||||||||||-|||-|||||||||||-|||-|-|||-|-|-||-|||--|-|||-||||-||||-|||||--|||-|||-|--|-|||-|||-|||||||||||||-||||||-|||||-|-||||||-||||-||-|-|||||||||||-|||||||-||||||||--||||||||||||||||||-|---|-||||||||---|-||||-||-||||||||||||-||||--|||-||||-||||||||||--|||||-|||||--||||-|-||-|-|||||||||-|||||||||||||||||||||||||-|||||||||-||| 
 579 ; 725 ; COG0581 ; P ;ABC-type phosphate transport system, permease component; --|--|||||-|||-|||---||||||||||||||||||||||-||||||||||||||||||||||||||------||||-|-|||-|||-||||||||-|||||||||||||||||-|||||||||||||||||||||-||||-||||||-|||||||||||||||||||-|||||-----|--------------------------------||---||--|||||||------|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||-|||||||||||-||||-|||||||||-|||--|-|||||---|-|-|||||||||||||||||||||||||||--|||||||||||||--||||||--||||||||||||||--||||||||||||||||-|||||||||||||||||-||||||--|||||||||||||-||||-||-||||||||||||||||||||||||||||||-|-||||||||||-||||||-----||||-||||||--||||||-|-|||||||||-|||||||||-||||||||-||||||||||--||||||||||||-||||-|-||||||-||-|||||||||||||||||||||-|||||||||||||||------| 
 628 ; 969 ; COG0587 ; L ;DNA polymerase III, alpha subunit; ---------------------------------------------|-------------------------------------||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||| 
 612 ; 969 ; COG0590 ; J ;tRNA(Arg) A34 adenosine deaminase TadA; ------------------------|||||--||||-|||--|-|----|-|||||-|||||--|||-------------|---||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||----|--|-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||--||||-||||||-|-|-||||||||||||||||||||||||||||-||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||-|||||||||||||||||||||||||||||---|--|||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||--||--|||-||---------|||||||||||||||||||||||-||--- 
 640 ; 724 ; COG0592 ; L ;DNA polymerase III sliding clamp (beta) subunit, PCNA homolog; --||-------|---|---|-|||-|-----------|-|----|-|-||----||-|-------|----||---|-------||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||| 
 606 ; 902 ; COG0593 ; L ;Chromosomal replication initiation ATPase DnaA; -----------------------------------------------------------------------------------||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||--|||||||||||||||||||||||||||||||||||||||||||-|||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||--|||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||-||||||||||||||-||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||-|-|-|||||||||||||||||||||||||||||||||||||||||-||||||||-||||||||||-||||||||||||||||||||-||||||||||||||||||||||||||||||||-||||||||||||||||||||| 
 579 ; 579 ; COG0594 ; J ;RNase P protein component; -----------------------------------------------------------------------------------|||-|||--||---||||||||||||||||||||-|||||||||||||||||||||||||||||||-||-||-|||||||-|-----|||||||||||||||||||||||-||||||||||||||||--|||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||-|||||||||||||||||||||||||||||||||--||||||||||||-||||||-||||||||||-|||||||||||||-|||||-||-|||||||||||||||||||-|||||||||||-||||||-|||||||||||||||-||||||-||||||||||||||||||||||||||||||||||||||||-||-||||||||||||||||||||||||||||||||||||||-||||||-||||||||||||-|-||||||||-|-|||||||-|-|||- 
 419 ; 518 ; COG0595 ; J ;mRNA degradation ribonuclease J1/J2; ------|-|--------|-----||||||||||||||||||||||||||||||||||||||-||||||||-------|||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-------------------------------------------------------------|------------||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||-|||||||------||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||----------------------------------------------------||-|-|||-||--|-||||-||||||-||||||||||||---------|-------|-------------------|--|---------||-||----------------------------------|-|------------|----|||-||------|||||||||------|--------|||--||| 
 604 ; 695 ; COG0597 ; MU ;Lipoprotein signal peptidase; -----------------------------------------------------------------------------------||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||-||||||||-|||||||||||||||||||||||||||||||||||||||||||-||||||-|||--|-||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||-||-||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||-----|||||||||||||||||||||||||||||||||||--| 
 574 ; 2531 ; COG0601 ; EP ;ABC-type dipeptide/oligopeptide/nickel transport system, permease component; |||||||||||||||||||||||||||||||||||||||||--||-|---|||-|---|||-||||-||||||-||-|||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||-----------|----|----|-|-|---||-|||-|----|--||||||-||--|||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||-|||||||||||-||||-|||||||||-||||-|||--|||||||||||||||||||-||||||||||-|-|-||||--|||||-|-||--|||---||||-|-|||-|----||||-||-|-|-|||||||---|||--||||--|||||||||||||||||||||||-||||||--||||-||||||||-||-|-||--|||||||||--||-||||||||||||||||-||||||||||||-|||||-|---|||||||||||--||||||-||||||--|||||||||||||-||||||||-||||-||||---|||||-||-||||||||-|--|-||||||-|||||||||||||||-||||||-|||-|-|||||||----|--| 
 611 ; 2928 ; COG0607 ; P ;Rhodanese-related sulfurtransferase; |----|----||--||||-|||||||||||||||||||||||---|---||||||||||-||||||----|||-|--|--|--||||||||||||||||-||||||||-|-|||-||||||||||||||||||||||||||||||||||||||||||||-|||||||||||--||||||||||||||||||||-||||||||||||||||--||||||||||--|||||||--|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||-|-||||||||-|||||||||||||||--||||||||-|||-|||||-|----|--|--||-||||-||||||-|||-|||-||--|||-|||||-|||-|-|||||||||-|-|||-||||||||||||||||||||-|||-|--|-||||||||||||||||||||||||||||-|||||||||||||||||||-||-||||||||||||||||||||-|||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||-||||||||-|||||||||||||||||||||||||||||||||||||||||-|||-||--|----|-|||||---|||||||||||||||--|||| 
 407 ; 638 ; COG0618 ; F ;nanoRNase/pAp phosphatase, hydrolyzes c-di-AMP and oligoRNAs; -||||-||||-|||--|||||||||||||||||||||||||-----||||||||||||||||||||||||---|-|||---|-|||-||---|||||--|--|----|||||||-||-----|----|----|-||-|-|-|-|-|||-|--|--|||--||-|||||||||||||||||||||||||||||||||||||||||||||||--|||||||||||||||||||-----||||||--|||||||||||||-||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||------------------------------|-----|------------------------------------------------------------------------------------------||-||||||||||||||||-||||-||||--||||||||--------|---------------------------------------|---------------------|--|---------------|-------------||-||||||-|||||||||||||||||||||||-||||||||-|||-||- 
 398 ; 898 ; COG0619 ; H ;Energy-coupling factor transporter transmembrane protein EcfT; |-|--||||-||||||||||-|||||||||||||||||||-||||||||||||||||||||-||||||||---|-|||---|----|--|--||||||||-|||-||||||||||||||-||||||||||||||||||||||||||||-||-|||||||||||-|----|||---|--------------------------------------------------|||||------|||||-|||||||||||||||||||||||||||||||||||-----|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|---|--|----||---|--|----------|--||-----------|---|-|-|-||-|--||----|---|-|--|-||--||||----|-||||----|------------------|---|----------|||||||||||||||--|-|--|||------|--|--|-|-|||---------|-------|---||-|-------|----|-----------|-----||--|-----------|--|--------|-||----|-----||--||-|||||||||||||||||--|-----|||---|---|---| 
 613 ; 2282 ; COG0624 ; E ;Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase; |||||||||||||||||||||||||||||-|||||||||||-----||||-||-|-|-||-|||--|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||--||-|||||||||||||||||||||||||||||||||||||||||-|||||||||||-||-----|-|||||||||--||---------|--|-|-|----------||--|||||||||||||||||||||||||||||||||||||-||||||--|||||||||--|||||--|||||||||-||||--|||||-|||||--|-|--|||-||||-|-||||||||||-|||||||||||||||||-|||||||||||||||-|||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||-||||||||||||||-||||-||-|||||||||||-||||-|-|--|-||||||||||||||||||||||||||-|||||||||||||||-|||||||-|||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||-||||-||||||||||||||||-|||-|-||||-|-||||||-|-|||-| 
 622 ; 1222 ; COG0629 ; L ;Single-stranded DNA-binding protein; -----------------------------------------------------------------------------------||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||--||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 
 427 ; 938 ; COG0631 ; T ;Serine/threonine protein phosphatase PrpC; ------------|-------------|||------|----------|-----|--||-|----|----------|---|----||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||-|||-|---|--|-|-------||--|||-----|--------|------|--|||----|----|-|||||||-|||--|||||||||||||-||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||--|||--|-|||||||-|||-||||||||||-|||--||-----------|||-|--|-||||----|----||--------|-||---||------|--|-|-|-|||||||||||||||-|--|||||--||||-|-||||||--|||-||-||||-||||||||-|||--|--|-||-||-|--||-||--||--||||||-|---||-|-||------||---|-||-||||--||--|||||||---|-|-|||---|||||--|-||-|--|-||||--|-|||--|-|--|--------|--------|-------|-|||--|---||-|-|||-|-| 
 613 ; 633 ; COG0632 ; L ;Holliday junction resolvasome RuvABC DNA-binding subunit; ------------------------|-||-||----||||----|-------||--|--|-------|----------------||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|--||-||||||||||||||||||||||||||||||||||||||||--|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||-|||--|-||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||-|||||||||||||||||||-|||||||||||||||||||||||||||||||||-||||||||||||||-||||-||-||||||||||||-|||||||||||||||||||||||||||||||||||||||---|||||||||||--|||||||||||||||||||||||||||||||||||||-||||||||||--|||||||||||||||||||-|||||||||||||-||||||||||||||||||||||||||||||||||-||||| 
 470 ; 504 ; COG0634 ; F ;Hypoxanthine-guanine phosphoribosyltransferase; -----------------------------------------------------------------------------------||||||||-|||||-|||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||--||||||||||-|||||--||||||||||--|||||-|----|-||||||||||--------------------------|---|||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||-|||||||||||||||-|||--|-||||||||||||||||||--|--|-|---|||||-----|-|||||--|-||-------||--|-|--||||||--|---|||---|-|--|-|----||-||---|||-|----|-|||--||||--|-|---||--|-|----|||||||||||||||||||||-||||||-----------|||||||||-|-|-|-|||||||||||--||||||||-|||||--||||||||||||-||||||||-|||-||-||||-|||||||||||--||||-|-||||-||||-||||||||||||||||||||||-||||||||||||||--||-|| 
 247 ; 330 ; COG0636 ; C ;FoF1-type ATP synthase, membrane subunit c/Archaeal/vacuolar-type H+-ATPase, subunit K; -|||---|-|--|---|----||--|---|-||-|---|||||||||||||||||||||||||||||||||||||||--|-|||-|---------------------|-----------------------------|---------------||-|------|-|-|-|-|-||-||-|---------------|-----------------|------------|---||||||-|----|-|-||||||||||||||||||||||||||||||||||||||-|------||-----------------|||--|||-|||-|||||||-----|||||||||||||--|-|---|--|||--|-|||--|-|||----|||-|----||------|--|--------|-||------------------|---------------|-|----------||----|-------|---------------------||---|---|-||---------|----||||-||--||-|||-|-||-||---|---------------|||------------------------------------|---|---|---|----------|---------------------|||-----------|--|||||||-|-|-|||||||||------|--||-----|-|---| 
 362 ; 404 ; COG0648 ; L ;Endonuclease IV; |||-|||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||-|||-|||||--||||-||-||-||---|||||--|-|--|-|--|||||||-||-|-|||||--|||||||-||||||-|||||-||-|--|-------------------------------------------|--||-|||||||||||||||||--------------------------------|||||-||||||||||||||-|-|||||-||||--||-||-|-|-||||-||||||||||--|||||||||||-||||--|||||||||||||||||||||||-|||--|||-|------------------------------|------------------------------------------------------------------------------------------------||-|||-||||||||-|||-|--|||-||--||||||||--||--||---||-|---|--|-|--|-||||||--|----|----|-||--------|--|-|||-||-----||----||-|-----------|-|--|-|---||--||-|||||||||||||||||--||-||-|----|||---|--| 
 618 ; 791 ; COG0653 ; U ;Preprotein translocase subunit SecA (ATPase, RNA helicase); -----------------------------------------------------------------------------------||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||-|||||||||||||||||||||||||||||||||||||||||||||||||||||||-||||||||||||||||||||||||-|||||||||||||||||||-||-|||||||||||||||||||||||||||||||-||||||||||||||||||-|||-||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||| 
 514 ; 2502 ; COG0667 ; R ;Predicted oxidoreductase (related to aryl-alcohol dehydrogenase); |||||---|-|||-||---||--||||||||||||||||||--|-------||-||------|-------|||-|---||||-|||||||||||-||||-||||||||||--|||||-|||||||||||||||||||||-|||||||||||||||||||-||||-|||||---||||-|--||||||||||||--|||-||||---|-||--||||||||||--|||||||--||-|||||||-||||||||||||||||||||||||||||||||-||||||||||||||||-||||||||||||||-||--|||-||--|||-----|-|||-|-||--|||||||-|||||||||-||||-||-|--------||||-|-||-||||||||||-|||-|||-|||-|||||-|||||-|-||||||---||||--||||||||||||||--||||-||-|--||||||||-||||-|||||||||--|||||----||-|||||||---||--||-||||--|||-|--|||--||--||||-||-|--||||||||-|||-||||-----|||--|||||---|||||||-|-||||---||||||--|----|||-|-|--|||||||||--|||||||||||||||||-|-|||||||||-|---|-||-|||||-|--|-||--|||||---|||||---|--| 
